release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili,date,location,location_name
2017-10-24,SC,201740,201541,103,38,4345,12,,,,,,,0.874568,0.874568,2015-10-17,45,South Carolina
2017-10-24,SD,201740,201541,103,87,9370,34,,,,,,,0.928495,0.928495,2015-10-17,46,South Dakota
2017-10-24,TN,201740,201541,103,49,8102,51,,,,,,,0.604789,0.604789,2015-10-17,47,Tennessee
2017-10-24,TX,201740,201541,103,1084,31604,124,,,,,,,3.42995,3.42995,2015-10-17,48,Texas
2017-10-24,UT,201740,201541,103,204,19311,44,,,,,,,1.05639,1.05639,2015-10-17,49,Utah
2017-10-24,VA,201740,201541,103,1325,87811,125,,,,,,,1.50892,1.50892,2015-10-17,51,Virginia
2017-10-24,VT,201740,201541,103,10,3386,10,,,,,,,0.295334,0.295334,2015-10-17,50,Vermont
2017-10-24,WA,201740,201541,103,40,5477,46,,,,,,,0.730327,0.730327,2015-10-17,53,Washington
2017-10-24,WI,201740,201541,103,123,7116,24,,,,,,,1.7285,1.7285,2015-10-17,55,Wisconsin
2017-10-24,WV,201740,201541,103,181,18501,51,,,,,,,0.978325,0.978325,2015-10-17,54,West Virginia
2017-10-24,WY,201740,201541,103,21,5044,23,,,,,,,0.416336,0.416336,2015-10-17,56,Wyoming
2017-10-24,AK,201740,201542,102,17,1730,7,,,,,,,0.982659,0.982659,2015-10-24,02,Alaska
2017-10-24,AL,201740,201542,102,251,10836,29,,,,,,,2.31635,2.31635,2015-10-24,01,Alabama
2017-10-24,AR,201740,201542,102,50,5014,17,,,,,,,0.997208,0.997208,2015-10-24,05,Arkansas
2017-10-24,AZ,201740,201542,102,396,26529,56,,,,,,,1.49271,1.49271,2015-10-24,04,Arizona
2017-10-24,CA,201740,201542,102,677,45010,140,,,,,,,1.50411,1.50411,2015-10-24,06,California
2017-10-24,CO,201740,201542,102,19,3594,6,,,,,,,0.528659,0.528659,2015-10-24,08,Colorado
2017-10-24,CT,201740,201542,102,50,5188,16,,,,,,,0.963763,0.963763,2015-10-24,09,Connecticut
2017-10-24,DC,201740,201542,102,4,820,1,,,,,,,0.487805,0.487805,2015-10-24,11,District of Columbia
2017-10-24,DE,201740,201542,102,3,4303,16,,,,,,,0.0697188,0.0697188,2015-10-24,10,Delaware
2017-10-24,GA,201740,201542,102,318,30812,31,,,,,,,1.03207,1.03207,2015-10-24,13,Georgia
2017-10-24,HI,201740,201542,102,25,1913,19,,,,,,,1.30685,1.30685,2015-10-24,15,Hawaii
2017-10-24,IA,201740,201542,102,18,2855,10,,,,,,,0.630473,0.630473,2015-10-24,19,Iowa
2017-10-24,ID,201740,201542,102,16,2623,8,,,,,,,0.609989,0.609989,2015-10-24,16,Idaho
2017-10-24,IL,201740,201542,102,806,50243,80,,,,,,,1.6042,1.6042,2015-10-24,17,Illinois
2017-10-24,IN,201740,201542,102,66,6125,30,,,,,,,1.07755,1.07755,2015-10-24,18,Indiana
2017-10-24,KS,201740,201542,102,85,8088,34,,,,,,,1.05094,1.05094,2015-10-24,20,Kansas
2017-10-24,KY,201740,201542,102,82,25766,23,,,,,,,0.318249,0.318249,2015-10-24,21,Kentucky
2017-10-24,MA,201740,201542,102,177,24135,44,,,,,,,0.733375,0.733375,2015-10-24,25,Massachusetts
2017-10-24,MD,201740,201542,102,116,8035,30,,,,,,,1.44368,1.44368,2015-10-24,24,Maryland
2017-10-24,ME,201740,201542,102,63,5773,28,,,,,,,1.09129,1.09129,2015-10-24,23,Maine
2017-10-24,MI,201740,201542,102,162,24724,70,,,,,,,0.655234,0.655234,2015-10-24,26,Michigan
2017-10-24,MN,201740,201542,102,45,5760,17,,,,,,,0.78125,0.78125,2015-10-24,27,Minnesota
2017-10-24,MO,201740,201542,102,132,8234,18,,,,,,,1.60311,1.60311,2015-10-24,29,Missouri
2017-10-24,MS,201740,201542,102,521,20046,53,,,,,,,2.59902,2.59902,2015-10-24,28,Mississippi
2017-10-24,MT,201740,201542,102,8,2794,7,,,,,,,0.286328,0.286328,2015-10-24,30,Montana
2017-10-24,US,201740,201542,102,11584,825079,1995,3263.0,4360.0,,2357.0,951.0,653.0,1.3711,1.40399,2015-10-24,US,US
2017-10-24,NC,201740,201542,102,220,17735,54,,,,,,,1.24048,1.24048,2015-10-24,37,North Carolina
2017-10-24,ND,201740,201542,102,3,1289,9,,,,,,,0.232739,0.232739,2015-10-24,38,North Dakota
2017-10-24,NE,201740,201542,102,16,3211,16,,,,,,,0.498287,0.498287,2015-10-24,31,Nebraska
2017-10-24,NH,201740,201542,102,6,4366,21,,,,,,,0.137426,0.137426,2015-10-24,33,New Hampshire
2017-10-24,NJ,201740,201542,102,24,3961,14,,,,,,,0.605908,0.605908,2015-10-24,34,New Jersey
2017-10-24,NM,201740,201542,102,142,12226,27,,,,,,,1.16146,1.16146,2015-10-24,35,New Mexico
2017-10-24,NV,201740,201542,102,63,12905,27,,,,,,,0.488183,0.488183,2015-10-24,32,Nevada
2017-10-24,OH,201740,201542,102,115,20089,68,,,,,,,0.572453,0.572453,2015-10-24,39,Ohio
2017-10-24,OK,201740,201542,102,133,6096,26,,,,,,,2.18176,2.18176,2015-10-24,40,Oklahoma
2017-10-24,OR,201740,201542,102,42,5240,21,,,,,,,0.801527,0.801527,2015-10-24,41,Oregon
2017-10-24,PA,201740,201542,102,230,14220,52,,,,,,,1.61744,1.61744,2015-10-24,42,Pennsylvania
2017-10-24,RI,201740,201542,102,14,6053,17,,,,,,,0.23129,0.23129,2015-10-24,44,Rhode Island
2017-10-24,SC,201740,201542,102,44,4122,12,,,,,,,1.06744,1.06744,2015-10-24,45,South Carolina
2017-10-24,SD,201740,201542,102,76,9289,34,,,,,,,0.818172,0.818172,2015-10-24,46,South Dakota
2017-10-24,TN,201740,201542,102,76,10028,55,,,,,,,0.757878,0.757878,2015-10-24,47,Tennessee
2017-10-24,TX,201740,201542,102,1162,32006,122,,,,,,,3.63057,3.63057,2015-10-24,48,Texas
2017-10-24,UT,201740,201542,102,216,17611,42,,,,,,,1.22651,1.22651,2015-10-24,49,Utah
2017-10-24,VA,201740,201542,102,1565,88714,127,,,,,,,1.7641,1.7641,2015-10-24,51,Virginia
2017-10-24,VT,201740,201542,102,16,3291,10,,,,,,,0.486174,0.486174,2015-10-24,50,Vermont
2017-10-24,WA,201740,201542,102,21,6007,46,,,,,,,0.349592,0.349592,2015-10-24,53,Washington
2017-10-24,WI,201740,201542,102,127,6941,25,,,,,,,1.82971,1.82971,2015-10-24,55,Wisconsin
2017-10-24,WV,201740,201542,102,237,17997,51,,,,,,,1.31689,1.31689,2015-10-24,54,West Virginia
2017-10-24,WY,201740,201542,102,28,5169,24,,,,,,,0.541691,0.541691,2015-10-24,56,Wyoming
2017-10-24,AK,201740,201543,101,9,1693,7,,,,,,,0.531601,0.531601,2015-10-31,02,Alaska
2017-10-24,AL,201740,201543,101,279,12699,26,,,,,,,2.19702,2.19702,2015-10-31,01,Alabama
2017-10-24,AR,201740,201543,101,46,5438,17,,,,,,,0.845899,0.845899,2015-10-31,05,Arkansas
2017-10-24,AZ,201740,201543,101,404,22358,53,,,,,,,1.80696,1.80696,2015-10-31,04,Arizona
2017-10-24,CA,201740,201543,101,715,44198,151,,,,,,,1.61772,1.61772,2015-10-31,06,California
2017-10-24,CO,201740,201543,101,18,4084,5,,,,,,,0.440744,0.440744,2015-10-31,08,Colorado
2017-10-24,CT,201740,201543,101,51,3590,15,,,,,,,1.42061,1.42061,2015-10-31,09,Connecticut
2017-10-24,DC,201740,201543,101,53,2049,1,,,,,,,2.58663,2.58663,2015-10-31,11,District of Columbia
2017-10-24,DE,201740,201543,101,5,4036,16,,,,,,,0.123885,0.123885,2015-10-31,10,Delaware
2017-10-24,GA,201740,201543,101,257,30313,30,,,,,,,0.847821,0.847821,2015-10-31,13,Georgia
2017-10-24,HI,201740,201543,101,28,1792,18,,,,,,,1.5625,1.5625,2015-10-31,15,Hawaii
2017-10-24,IA,201740,201543,101,8,2800,10,,,,,,,0.285714,0.285714,2015-10-31,19,Iowa
2017-10-24,ID,201740,201543,101,17,2950,9,,,,,,,0.576271,0.576271,2015-10-31,16,Idaho
2017-10-24,IL,201740,201543,101,842,47425,76,,,,,,,1.77543,1.77543,2015-10-31,17,Illinois
2017-10-24,IN,201740,201543,101,85,7196,30,,,,,,,1.18121,1.18121,2015-10-31,18,Indiana
2017-10-24,KS,201740,201543,101,91,7537,35,,,,,,,1.20738,1.20738,2015-10-31,20,Kansas
2017-10-24,KY,201740,201543,101,118,27875,29,,,,,,,0.423318,0.423318,2015-10-31,21,Kentucky
2017-10-24,MA,201740,201543,101,142,24071,41,,,,,,,0.589921,0.589921,2015-10-31,25,Massachusetts
2017-10-24,MD,201740,201543,101,121,8388,33,,,,,,,1.44254,1.44254,2015-10-31,24,Maryland
2017-10-24,ME,201740,201543,101,59,5720,28,,,,,,,1.03147,1.03147,2015-10-31,23,Maine
2017-10-24,MI,201740,201543,101,187,25899,71,,,,,,,0.722036,0.722036,2015-10-31,26,Michigan
2017-10-24,MN,201740,201543,101,48,5772,18,,,,,,,0.831601,0.831601,2015-10-31,27,Minnesota
2017-10-24,MO,201740,201543,101,98,8602,20,,,,,,,1.13927,1.13927,2015-10-31,29,Missouri
2017-10-24,MS,201740,201543,101,501,19613,53,,,,,,,2.55443,2.55443,2015-10-31,28,Mississippi
2017-10-24,MT,201740,201543,101,2,3364,8,,,,,,,0.059453,0.059453,2015-10-31,30,Montana
2017-10-24,US,201740,201543,101,11164,811165,1999,3141.0,4148.0,,2254.0,927.0,694.0,1.39171,1.37629,2015-10-31,US,US
2017-10-24,NC,201740,201543,101,227,16125,52,,,,,,,1.40775,1.40775,2015-10-31,37,North Carolina
2017-10-24,ND,201740,201543,101,2,1249,10,,,,,,,0.160128,0.160128,2015-10-31,38,North Dakota
2017-10-24,NE,201740,201543,101,12,3619,17,,,,,,,0.331583,0.331583,2015-10-31,31,Nebraska
2017-10-24,NH,201740,201543,101,9,4290,22,,,,,,,0.20979,0.20979,2015-10-31,33,New Hampshire
2017-10-24,NJ,201740,201543,101,19,4455,14,,,,,,,0.426487,0.426487,2015-10-31,34,New Jersey
2017-10-24,NM,201740,201543,101,114,11450,25,,,,,,,0.995633,0.995633,2015-10-31,35,New Mexico
2017-10-24,NV,201740,201543,101,90,13056,28,,,,,,,0.689338,0.689338,2015-10-31,32,Nevada
2017-10-24,OH,201740,201543,101,109,18477,69,,,,,,,0.589923,0.589923,2015-10-31,39,Ohio
2017-10-24,OK,201740,201543,101,122,5576,25,,,,,,,2.18795,2.18795,2015-10-31,40,Oklahoma
2017-10-24,OR,201740,201543,101,37,4529,19,,,,,,,0.816957,0.816957,2015-10-31,41,Oregon
2017-10-24,PA,201740,201543,101,222,16420,53,,,,,,,1.35201,1.35201,2015-10-31,42,Pennsylvania
2017-10-24,RI,201740,201543,101,14,6058,17,,,,,,,0.231099,0.231099,2015-10-31,44,Rhode Island
2017-10-24,SC,201740,201543,101,81,4833,13,,,,,,,1.67598,1.67598,2015-10-31,45,South Carolina
2017-10-24,SD,201740,201543,101,88,8645,33,,,,,,,1.01793,1.01793,2015-10-31,46,South Dakota
2017-10-24,TN,201740,201543,101,54,8405,51,,,,,,,0.642475,0.642475,2015-10-31,47,Tennessee
2017-10-24,TX,201740,201543,101,1152,29927,123,,,,,,,3.84937,3.84937,2015-10-31,48,Texas
2017-10-24,UT,201740,201543,101,212,18789,44,,,,,,,1.12832,1.12832,2015-10-31,49,Utah
2017-10-24,VA,201740,201543,101,1341,86590,125,,,,,,,1.54868,1.54868,2015-10-31,51,Virginia
2017-10-24,VT,201740,201543,101,15,3366,10,,,,,,,0.445633,0.445633,2015-10-31,50,Vermont
2017-10-24,WA,201740,201543,101,55,5665,37,,,,,,,0.970874,0.970874,2015-10-31,53,Washington
2017-10-24,WI,201740,201543,101,112,7161,24,,,,,,,1.56403,1.56403,2015-10-31,55,Wisconsin
2017-10-24,WV,201740,201543,101,197,18391,52,,,,,,,1.07118,1.07118,2015-10-31,54,West Virginia
2017-10-24,WY,201740,201543,101,27,4997,23,,,,,,,0.540324,0.540324,2015-10-31,56,Wyoming
2017-10-24,AK,201740,201544,100,10,1055,6,,,,,,,0.947867,0.947867,2015-11-07,02,Alaska
2017-10-24,AL,201740,201544,100,313,13508,28,,,,,,,2.31715,2.31715,2015-11-07,01,Alabama
2017-10-24,AR,201740,201544,100,42,4342,16,,,,,,,0.967296,0.967296,2015-11-07,05,Arkansas
2017-10-24,AZ,201740,201544,100,415,22159,57,,,,,,,1.87283,1.87283,2015-11-07,04,Arizona
2017-10-24,CA,201740,201544,100,800,46086,157,,,,,,,1.73589,1.73589,2015-11-07,06,California
2017-10-24,CO,201740,201544,100,11,3059,5,,,,,,,0.359595,0.359595,2015-11-07,08,Colorado
2017-10-24,CT,201740,201544,100,112,6252,18,,,,,,,1.79143,1.79143,2015-11-07,09,Connecticut
2017-10-24,DC,201740,201544,100,192,3289,2,,,,,,,5.83764,5.83764,2015-11-07,11,District of Columbia
2017-10-24,DE,201740,201544,100,9,4392,17,,,,,,,0.204918,0.204918,2015-11-07,10,Delaware
2017-10-24,GA,201740,201544,100,370,34467,31,,,,,,,1.07349,1.07349,2015-11-07,13,Georgia
2017-10-24,HI,201740,201544,100,43,1970,19,,,,,,,2.18274,2.18274,2015-11-07,15,Hawaii
2017-10-24,IA,201740,201544,100,17,3037,10,,,,,,,0.559763,0.559763,2015-11-07,19,Iowa
2017-10-24,ID,201740,201544,100,13,2932,10,,,,,,,0.443383,0.443383,2015-11-07,16,Idaho
2017-10-24,IL,201740,201544,100,920,51197,80,,,,,,,1.79698,1.79698,2015-11-07,17,Illinois
2017-10-24,IN,201740,201544,100,85,7703,32,,,,,,,1.10347,1.10347,2015-11-07,18,Indiana
2017-10-24,KS,201740,201544,100,119,7421,33,,,,,,,1.60356,1.60356,2015-11-07,20,Kansas
2017-10-24,KY,201740,201544,100,132,26681,28,,,,,,,0.494734,0.494734,2015-11-07,21,Kentucky
2017-10-24,MA,201740,201544,100,164,24554,44,,,,,,,0.667916,0.667916,2015-11-07,25,Massachusetts
2017-10-24,MD,201740,201544,100,122,8490,31,,,,,,,1.43698,1.43698,2015-11-07,24,Maryland
2017-10-24,ME,201740,201544,100,55,5060,27,,,,,,,1.08696,1.08696,2015-11-07,23,Maine
2017-10-24,MI,201740,201544,100,211,25258,70,,,,,,,0.835379,0.835379,2015-11-07,26,Michigan
2017-10-24,MN,201740,201544,100,74,5748,18,,,,,,,1.2874,1.2874,2015-11-07,27,Minnesota
2017-10-24,MO,201740,201544,100,122,8421,19,,,,,,,1.44876,1.44876,2015-11-07,29,Missouri
2017-10-24,MS,201740,201544,100,503,21093,54,,,,,,,2.38468,2.38468,2015-11-07,28,Mississippi
2017-10-24,MT,201740,201544,100,6,3104,8,,,,,,,0.193299,0.193299,2015-11-07,30,Montana
2017-10-24,US,201740,201544,100,12423,845875,2048,3563.0,4783.0,,2450.0,935.0,692.0,1.43712,1.46866,2015-11-07,US,US
2017-10-24,NC,201740,201544,100,206,17507,52,,,,,,,1.17667,1.17667,2015-11-07,37,North Carolina
2017-10-24,ND,201740,201544,100,4,987,8,,,,,,,0.405268,0.405268,2015-11-07,38,North Dakota
2017-10-24,NE,201740,201544,100,18,3676,17,,,,,,,0.489663,0.489663,2015-11-07,31,Nebraska
2017-10-24,NH,201740,201544,100,10,4160,21,,,,,,,0.240385,0.240385,2015-11-07,33,New Hampshire
2017-10-24,NJ,201740,201544,100,34,4564,15,,,,,,,0.744961,0.744961,2015-11-07,34,New Jersey
2017-10-24,NM,201740,201544,100,152,12636,27,,,,,,,1.20291,1.20291,2015-11-07,35,New Mexico
2017-10-24,NV,201740,201544,100,86,13011,28,,,,,,,0.660979,0.660979,2015-11-07,32,Nevada
2017-10-24,OH,201740,201544,100,136,18470,70,,,,,,,0.736329,0.736329,2015-11-07,39,Ohio
2017-10-24,OK,201740,201544,100,111,5204,25,,,,,,,2.13297,2.13297,2015-11-07,40,Oklahoma
2017-10-24,OR,201740,201544,100,31,4690,21,,,,,,,0.660981,0.660981,2015-11-07,41,Oregon
2017-10-24,PA,201740,201544,100,246,17675,55,,,,,,,1.3918,1.3918,2015-11-07,42,Pennsylvania
2017-10-24,RI,201740,201544,100,17,6331,17,,,,,,,0.26852,0.26852,2015-11-07,44,Rhode Island
2017-10-24,SC,201740,201544,100,57,4461,12,,,,,,,1.27774,1.27774,2015-11-07,45,South Carolina
2017-10-24,SD,201740,201544,100,110,9154,34,,,,,,,1.20166,1.20166,2015-11-07,46,South Dakota
2017-10-24,TN,201740,201544,100,79,11302,57,,,,,,,0.698991,0.698991,2015-11-07,47,Tennessee
2017-10-24,TX,201740,201544,100,1143,32860,126,,,,,,,3.47839,3.47839,2015-11-07,48,Texas
2017-10-24,UT,201740,201544,100,291,19210,41,,,,,,,1.51484,1.51484,2015-11-07,49,Utah
2017-10-24,VA,201740,201544,100,1528,92073,130,,,,,,,1.65955,1.65955,2015-11-07,51,Virginia
2017-10-24,VT,201740,201544,100,33,3701,11,,,,,,,0.891651,0.891651,2015-11-07,50,Vermont
2017-10-24,WA,201740,201544,100,24,5625,46,,,,,,,0.426667,0.426667,2015-11-07,53,Washington
2017-10-24,WI,201740,201544,100,117,7185,24,,,,,,,1.62839,1.62839,2015-11-07,55,Wisconsin
2017-10-24,WV,201740,201544,100,266,18832,50,,,,,,,1.41249,1.41249,2015-11-07,54,West Virginia
2017-10-24,WY,201740,201544,100,35,5254,25,,,,,,,0.666159,0.666159,2015-11-07,56,Wyoming
2017-10-24,AK,201740,201545,99,11,981,6,,,,,,,1.1213,1.1213,2015-11-14,02,Alaska
